"Date","Price","Open","High","Low","Vol.","Change %"
"02/06/2024","1,892.82","1,885.13","1,897.21","1,881.70","","0.45%"
"02/05/2024","1,884.40","1,890.57","1,895.51","1,875.09","","-0.28%"
"02/02/2024","1,889.68","1,890.08","1,891.43","1,877.10","","0.02%"
"02/01/2024","1,889.27","1,886.04","1,902.06","1,877.15","","0.22%"
"01/31/2024","1,885.16","1,878.24","1,892.26","1,876.97","","0.41%"
"01/30/2024","1,877.37","1,876.42","1,889.32","1,872.93","","0.09%"
"01/29/2024","1,875.73","1,860.98","1,883.53","1,859.68","","0.89%"
"01/26/2024","1,859.19","1,863.75","1,870.35","1,855.69","","-0.15%"
"01/25/2024","1,861.91","1,850.41","1,867.09","1,846.86","","0.67%"
"01/24/2024","1,849.60","1,869.60","1,871.19","1,845.49","","-1.04%"
"01/23/2024","1,869.07","1,857.67","1,872.81","1,855.74","","0.66%"
"01/22/2024","1,856.86","1,863.55","1,864.65","1,851.98","","-0.27%"
"01/19/2024","1,861.93","1,860.27","1,873.24","1,855.92","","0.13%"
"01/18/2024","1,859.49","1,843.63","1,861.60","1,841.56","","0.91%"
"01/17/2024","1,842.75","1,865.26","1,868.35","1,842.80","","-1.15%"
"01/16/2024","1,864.22","1,876.52","1,879.70","1,862.39","","-0.62%"
"01/15/2024","1,875.90","1,870.48","1,879.31","1,868.74","","0.29%"
"01/12/2024","1,870.46","1,849.68","1,879.30","1,848.30","","1.15%"
"01/11/2024","1,849.25","1,844.77","1,860.18","1,838.05","","0.28%"
"01/10/2024","1,844.09","1,857.17","1,863.24","1,841.94","","-0.67%"
"01/09/2024","1,856.57","1,852.37","1,866.37","1,850.46","","0.29%"
"01/08/2024","1,851.17","1,869.03","1,870.19","1,841.91","","-0.97%"
"01/05/2024","1,869.23","1,866.75","1,878.22","1,861.74","","0.17%"
"01/04/2024","1,866.07","1,869.17","1,874.63","1,860.86","","-0.14%"
"01/03/2024","1,868.70","1,880.35","1,886.23","1,861.71","","-0.65%"
"01/02/2024","1,880.84","1,867.67","1,891.03","1,867.42","","0.73%"
"01/01/2024","1,867.27","1,867.75","1,869.11","1,867.16","","-0.07%"
"12/29/2023","1,868.63","1,867.55","1,875.05","1,861.43","","0.10%"
"12/28/2023","1,866.75","1,871.70","1,878.93","1,863.23","","-0.19%"
"12/27/2023","1,870.39","1,872.72","1,877.21","1,862.59","","-0.04%"
"12/26/2023","1,871.08","1,864.94","1,874.52","1,862.99","","0.35%"
"12/25/2023","1,864.48","1,863.75","1,867.74","1,862.91","","0.03%"
"12/22/2023","1,863.97","1,858.25","1,877.26","1,857.91","","0.34%"
"12/21/2023","1,857.57","1,856.41","1,863.11","1,851.69","","0.12%"
"12/20/2023","1,855.41","1,858.12","1,865.05","1,851.82","","-0.10%"
"12/19/2023","1,857.18","1,855.20","1,865.23","1,849.54","","0.19%"
"12/18/2023","1,853.72","1,851.23","1,861.08","1,849.04","","0.09%"
"12/15/2023","1,852.06","1,852.26","1,867.85","1,849.26","","0.02%"
"12/14/2023","1,851.74","1,864.76","1,872.37","1,846.66","","-0.65%"
"12/13/2023","1,863.89","1,833.93","1,864.85","1,829.63","","1.67%"
"12/12/2023","1,833.33","1,841.41","1,848.04","1,832.68","","-0.38%"
"12/11/2023","1,840.37","1,861.73","1,865.89","1,837.74","","-1.11%"
"12/08/2023","1,861.02","1,879.13","1,890.89","1,855.88","","-0.94%"
"12/07/2023","1,878.71","1,881.70","1,890.96","1,872.02","","-0.12%"
"12/06/2023","1,881.01","1,870.47","1,887.36","1,869.00","","0.61%"
"12/05/2023","1,869.60","1,872.83","1,885.95","1,860.20","","-0.13%"
"12/04/2023","1,872.10","1,902.50","1,940.73","1,868.00","","-1.61%"
"12/01/2023","1,902.70","1,870.61","1,905.48","1,868.75","","1.75%"
"11/30/2023","1,870.06","1,863.36","1,873.56","1,860.53","","0.39%"
"11/29/2023","1,862.73","1,856.59","1,865.30","1,853.51","","0.37%"
"11/28/2023","1,855.91","1,839.83","1,859.08","1,837.11","","0.90%"
"11/27/2023","1,839.31","1,830.78","1,844.61","1,828.42","","0.54%"
"11/24/2023","1,829.45","1,827.05","1,834.33","1,824.68","","0.18%"
"11/23/2023","1,826.16","1,827.96","1,832.72","1,823.83","","-0.05%"
"11/22/2023","1,827.08","1,831.64","1,842.02","1,825.68","","-0.20%"
"11/21/2023","1,830.65","1,807.93","1,834.56","1,807.16","","1.29%"
"11/20/2023","1,807.28","1,814.70","1,817.96","1,798.87","","-0.41%"
"11/17/2023","1,814.69","1,826.57","1,836.26","1,814.04","","-0.57%"
"11/16/2023","1,825.08","1,806.49","1,829.90","1,804.67","","1.08%"
"11/15/2023","1,805.65","1,804.61","1,819.21","1,803.20","","0.09%"
"11/14/2023","1,804.06","1,819.04","1,821.89","1,803.44","","-0.80%"
"11/13/2023","1,818.52","1,813.04","1,821.05","1,808.81","","0.32%"
"11/10/2023","1,812.63","1,836.02","1,838.22","1,810.14","","-1.23%"
"11/09/2023","1,835.24","1,821.38","1,837.32","1,817.35","","0.79%"
"11/08/2023","1,820.85","1,840.43","1,845.60","1,819.55","","-1.03%"
"11/07/2023","1,839.82","1,845.48","1,846.27","1,831.39","","-0.28%"
"11/06/2023","1,844.92","1,857.14","1,858.40","1,842.75","","-0.61%"
"11/03/2023","1,856.22","1,869.31","1,873.16","1,852.38","","-0.67%"
"11/02/2023","1,868.78","1,876.05","1,877.09","1,861.02","","-0.32%"
"11/01/2023","1,874.75","1,875.98","1,888.13","1,868.56","","0.01%"
"10/31/2023","1,874.57","1,880.38","1,891.87","1,870.87","","-0.27%"
"10/30/2023","1,879.65","1,899.52","1,900.49","1,879.01","","-0.99%"
"10/27/2023","1,898.35","1,879.81","1,902.27","1,867.86","","1.07%"
"10/26/2023","1,878.26","1,873.07","1,890.31","1,870.14","","0.27%"
"10/25/2023","1,873.18","1,861.18","1,879.19","1,854.49","","0.68%"
"10/24/2023","1,860.53","1,849.15","1,867.42","1,838.94","","0.66%"
"10/23/2023","1,848.28","1,870.33","1,871.66","1,848.44","","-1.13%"
"10/20/2023","1,869.36","1,865.71","1,885.37","1,862.32","","0.25%"
"10/19/2023","1,864.70","1,847.50","1,869.21","1,844.33","","1.00%"
"10/18/2023","1,846.25","1,818.10","1,859.66","1,817.75","","1.59%"
"10/17/2023","1,817.33","1,817.85","1,831.44","1,812.31","","0.00%"
"10/16/2023","1,817.26","1,839.68","1,840.19","1,810.99","","-1.13%"
"10/13/2023","1,838.10","1,773.64","1,840.19","1,773.26","","3.58%"
"10/12/2023","1,774.57","1,764.64","1,777.55","1,763.85","","0.57%"
"10/11/2023","1,764.46","1,754.24","1,772.00","1,752.72","","0.62%"
"10/10/2023","1,753.56","1,761.49","1,764.42","1,749.45","","-0.40%"
"10/09/2023","1,760.61","1,735.05","1,764.04","1,734.48","","1.75%"
"10/06/2023","1,730.38","1,725.42","1,737.71","1,722.19","","0.33%"
"10/05/2023","1,724.73","1,733.27","1,738.11","1,723.00","","-0.49%"
"10/04/2023","1,733.23","1,741.17","1,743.94","1,729.46","","-0.45%"
"10/03/2023","1,740.98","1,744.50","1,749.39","1,733.95","","-0.17%"
"10/02/2023","1,743.92","1,749.23","1,750.47","1,735.92","","-0.23%"
"09/29/2023","1,747.98","1,764.88","1,773.55","1,746.79","","-0.97%"
"09/28/2023","1,765.03","1,785.34","1,788.05","1,758.92","","-1.10%"
"09/27/2023","1,784.72","1,797.85","1,801.47","1,784.59","","-0.69%"
"09/26/2023","1,797.04","1,808.61","1,810.38","1,796.63","","-0.57%"
"09/25/2023","1,807.26","1,806.94","1,817.16","1,804.29","","0.04%"
"09/22/2023","1,806.48","1,801.07","1,816.45","1,800.19","","0.38%"
"09/21/2023","1,799.56","1,810.64","1,814.72","1,797.04","","-0.56%"
"09/20/2023","1,809.73","1,808.29","1,819.15","1,802.98","","0.12%"
"09/19/2023","1,807.58","1,808.82","1,811.90","1,805.59","","-0.02%"
"09/18/2023","1,808.00","1,804.21","1,810.17","1,802.01","","0.19%"
"09/15/2023","1,804.66","1,795.60","1,809.81","1,794.49","","0.56%"
"09/14/2023","1,794.64","1,776.55","1,796.51","1,774.13","","1.05%"
"09/13/2023","1,776.03","1,779.47","1,783.40","1,774.62","","-0.15%"
"09/12/2023","1,778.61","1,788.03","1,792.55","1,777.18","","-0.48%"
"09/11/2023","1,787.24","1,790.92","1,799.06","1,787.11","","-0.31%"
"09/08/2023","1,792.88","1,794.17","1,799.60","1,791.14","","-0.05%"
"09/07/2023","1,793.70","1,786.72","1,799.14","1,786.24","","0.42%"
"09/06/2023","1,786.16","1,795.23","1,797.55","1,786.30","","-0.46%"
"09/05/2023","1,794.45","1,795.58","1,802.23","1,793.68","","-0.06%"
"09/04/2023","1,795.45","1,800.09","1,804.50","1,793.27","","-0.22%"
"09/01/2023","1,799.38","1,788.88","1,802.05","1,787.33","","0.61%"
"08/31/2023","1,788.52","1,777.70","1,793.49","1,777.33","","0.65%"
"08/30/2023","1,777.03","1,780.96","1,784.37","1,777.70","","-0.18%"
"08/29/2023","1,780.18","1,775.81","1,787.15","1,772.79","","0.38%"
"08/28/2023","1,773.50","1,773.04","1,782.60","1,768.97","","0.08%"
"08/25/2023","1,772.13","1,773.18","1,778.34","1,766.31","","-0.01%"
"08/24/2023","1,772.25","1,762.81","1,775.67","1,761.68","","0.53%"
"08/23/2023","1,762.89","1,749.13","1,771.04","1,748.74","","0.81%"
"08/22/2023","1,748.68","1,739.81","1,751.25","1,735.33","","0.59%"
"08/21/2023","1,738.34","1,736.94","1,742.85","1,730.89","","0.05%"
"08/18/2023","1,737.46","1,736.40","1,745.52","1,734.86","","0.11%"
"08/17/2023","1,735.56","1,739.34","1,745.92","1,733.95","","-0.16%"
"08/16/2023","1,738.33","1,744.14","1,747.97","1,738.65","","-0.30%"
"08/15/2023","1,743.54","1,748.79","1,750.08","1,737.59","","-0.26%"
"08/14/2023","1,748.03","1,747.17","1,753.42","1,744.44","","0.02%"
"08/11/2023","1,747.64","1,741.44","1,750.67","1,740.07","","0.38%"
"08/10/2023","1,740.95","1,744.19","1,748.92","1,736.52","","-0.15%"
"08/09/2023","1,743.53","1,757.30","1,760.94","1,744.10","","-0.75%"
"08/08/2023","1,756.70","1,760.23","1,765.42","1,756.06","","-0.09%"
"08/07/2023","1,758.21","1,763.37","1,768.37","1,756.21","","-0.33%"
"08/04/2023","1,763.97","1,766.92","1,770.33","1,757.53","","-0.08%"
"08/03/2023","1,765.45","1,768.42","1,776.05","1,764.66","","-0.13%"
"08/02/2023","1,767.82","1,770.63","1,781.28","1,764.39","","-0.08%"
"08/01/2023","1,769.27","1,786.92","1,787.82","1,769.42","","-0.95%"
"07/31/2023","1,786.32","1,777.63","1,792.35","1,769.34","","0.45%"
"07/28/2023","1,778.34","1,773.13","1,785.07","1,770.25","","0.39%"
"07/27/2023","1,771.51","1,779.80","1,784.71","1,765.03","","-0.39%"
"07/26/2023","1,778.41","1,777.68","1,784.54","1,774.84","","0.09%"
"07/25/2023","1,776.74","1,766.55","1,779.13","1,765.21","","0.65%"
"07/24/2023","1,765.26","1,762.81","1,774.97","1,759.48","","0.14%"
